Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1066869,,2103,ELLERSLIE ROAD SW,N,6663,DECOTEAU,Sspomitapi Ward,270000,53.42207938362915,-113.3767542,POINT (-113.37675416529636 53.42207938362915),97,3,,RESIDENTIAL,FARMLAND,
1066414,,2904,MERIDIAN STREET SW,Y,6663,DECOTEAU,Sspomitapi Ward,795500,53.40493042930048,-113.3506843,POINT (-113.3506843133103 53.40493042930048),97,3,,RESIDENTIAL,FARMLAND,
9999292,,2875,66 STREET SW,N,6667,MATTSON,Karhiio Ward,5671500,53.406162271439904,-113.4364125,POINT (-113.43641250542707 53.406162271439904),97,3,,RESIDENTIAL,COMMERCIAL,
4020707,,2403,51 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,5559500,53.48542166269644,-113.3780488,POINT (-113.37804884821563 53.48542166269644),97,3,,COMMERCIAL,COMMERCIAL,
9540402,,4605,76 AVENUE NW,N,6780,WEIR INDUSTRIAL,Métis Ward,1360000,53.51128282263542,-113.4122299,POINT (-113.41222987821578 53.51128282263542),97,3,,OTHER RESIDENTIAL,COMMERCIAL,
10884975,,5415,80 STREET SW,Y,8885,EDMONTON SOUTH CENTRAL EAST,Karhiio Ward,751500,53.38396376760137,-113.4518344,POINT (-113.45183439390584 53.38396376760137),95,3,1,RESIDENTIAL,RESIDENTIAL,RESIDENTIAL
10885155,,4325,34 STREET SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,613000,53.39215985330776,-113.3903186,POINT (-113.39031863530188 53.39215985330776),95,3,2,RESIDENTIAL,RESIDENTIAL,FARMLAND
10885158,,6425,34 STREET SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,548500,53.375873560026506,-113.375125,POINT (-113.37512496283806 53.375873560026506),91,3,3,RESIDENTIAL,FARMLAND,RESIDENTIAL
10884942,,4135,41 AVENUE SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,943000,53.39308302574062,-113.3997291,POINT (-113.39972907794802 53.39308302574062),91,3,3,RESIDENTIAL,RESIDENTIAL,RESIDENTIAL
10885140,,225,41 AVENUE SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,1092000,53.39389979725797,-113.3476934,POINT (-113.34769337140939 53.39389979725797),95,3,1,RESIDENTIAL,RESIDENTIAL,FARMLAND
10508233,,16340,MARK MESSIER TRAIL NW,N,,ANTHONY HENDAY MISTATIM,,52000,53.61647844436395,-113.6057205,POINT (-113.60572053205054 53.61647844436395),100,,,RESIDENTIAL,,
1066018,,16340,MARK MESSIER TRAIL NW,N,,ANTHONY HENDAY MISTATIM,,87500,53.61647844436395,-113.6057205,POINT (-113.60572053205054 53.61647844436395),100,,,RESIDENTIAL,,
1066158,,14904,167 AVENUE NW,N,,ANTHONY HENDAY RAMPART,,99500,53.630494832446956,-113.5804859,POINT (-113.58048586098425 53.630494832446956),100,,,RESIDENTIAL,,
1108323,,14404,170 STREET NW,N,,ANTHONY HENDAY MISTATIM,,637500,53.60980245124371,-113.6196229,POINT (-113.61962285868125 53.60980245124371),100,,,RESIDENTIAL,,
10925884,,8310,212 STREET SW,N,,EDMONTON SOUTH WEST,,8000,53.359526556270396,-113.6898777,POINT (-113.68987767594408 53.359526556270396),100,,,FARMLAND,,
10929199,,18835,66 STREET NW,N,,EDMONTON ENERGY AND TECHNOLOGY PARK,,500,53.65389424,-113.4338071,POINT (-113.43380711129294 53.653894241101),100,,,COMMERCIAL,,
